,State,County,State code,County code,Year span,Measure name,Measure id,Numerator,Denominator,Raw value,Confidence Interval Lower Bound,Confidence Interval Upper Bound,Data Release Year,fipscode,year_2,raw_value
214401,AL,Alabama,1.0,0.0,2004,Adult obesity,11.0,267450.55,935975.0,0.29,,,,1000.0,2004.0,0.29
214402,AL,Alabama,1.0,0.0,2005,Adult obesity,11.0,288013.39,979849.0,0.29,,,,1000.0,2005.0,0.29
214403,AL,Alabama,1.0,0.0,2006,Adult obesity,11.0,318175.61,1029210.0,0.31,,,,1000.0,2006.0,0.31
214404,AL,Alabama,1.0,0.0,2007,Adult obesity,11.0,339843.43,1065909.0,0.32,,,,1000.0,2007.0,0.32
214405,AL,Alabama,1.0,0.0,2008,Adult obesity,11.0,349081.86,1086507.0,0.32,,,2011.0,1000.0,2008.0,0.32
214406,AL,Alabama,1.0,0.0,2009,Adult obesity,11.0,375625.75,1132378.0,0.33,,,2012.0,1000.0,2009.0,0.33
214407,AL,Alabama,1.0,0.0,2010,Adult obesity,11.0,1158580.0,3510574.848,0.330025722,,,2014.0,1000.0,2010.0,0.330025722
214877,AK,Alaska,2.0,0.0,2004,Adult obesity,11.0,28334.92,112301.1,0.25,,,,2000.0,2004.0,0.25
214878,AK,Alaska,2.0,0.0,2005,Adult obesity,11.0,30160.87,116470.0,0.26,,,,2000.0,2005.0,0.26
214879,AK,Alaska,2.0,0.0,2006,Adult obesity,11.0,34962.1,127480.5,0.27,,,,2000.0,2006.0,0.27
214880,AK,Alaska,2.0,0.0,2007,Adult obesity,11.0,37277.5,133375.1,0.28,,,,2000.0,2007.0,0.28
214881,AK,Alaska,2.0,0.0,2008,Adult obesity,11.0,38297.83,135026.3,0.28,,,2011.0,2000.0,2008.0,0.28
214882,AK,Alaska,2.0,0.0,2009,Adult obesity,11.0,38634.43,137474.0,0.28,,,2012.0,2000.0,2009.0,0.28
214883,AK,Alaska,2.0,0.0,2010,Adult obesity,11.0,140699.0,505381.9383,0.278401323,,,2014.0,2000.0,2010.0,0.278401323
215073,AZ,Arizona,4.0,0.0,2004,Adult obesity,11.0,158493.26,794974.0,0.2,,,,4000.0,2004.0,0.2
215074,AZ,Arizona,4.0,0.0,2005,Adult obesity,11.0,177060.11,850092.0,0.21,,,,4000.0,2005.0,0.21
215075,AZ,Arizona,4.0,0.0,2006,Adult obesity,11.0,207941.65,949179.0,0.22,,,,4000.0,2006.0,0.22
215076,AZ,Arizona,4.0,0.0,2007,Adult obesity,11.0,239779.79,1027972.0,0.23,,,,4000.0,2007.0,0.23
215077,AZ,Arizona,4.0,0.0,2008,Adult obesity,11.0,263752.46,1098888.0,0.24,,,2011.0,4000.0,2008.0,0.24
215078,AZ,Arizona,4.0,0.0,2009,Adult obesity,11.0,292027.56,1165468.0,0.25,,,2012.0,4000.0,2009.0,0.25
215079,AZ,Arizona,4.0,0.0,2010,Adult obesity,11.0,1116097.0,4587603.698,0.2432854,,,2014.0,4000.0,2010.0,0.2432854
215185,AR,Arkansas,5.0,0.0,2004,Adult obesity,11.0,138570.99,523384.0,0.26,,,,5000.0,2004.0,0.26
215186,AR,Arkansas,5.0,0.0,2005,Adult obesity,11.0,148834.85,546877.0,0.27,,,,5000.0,2005.0,0.27
215187,AR,Arkansas,5.0,0.0,2006,Adult obesity,11.0,163352.85,575074.0,0.28,,,,5000.0,2006.0,0.28
215188,AR,Arkansas,5.0,0.0,2007,Adult obesity,11.0,174378.35,596147.0,0.29,,,,5000.0,2007.0,0.29
215189,AR,Arkansas,5.0,0.0,2008,Adult obesity,11.0,192102.08,629240.0,0.31,,,2011.0,5000.0,2008.0,0.31
215190,AR,Arkansas,5.0,0.0,2009,Adult obesity,11.0,220134.48,676421.0,0.33,,,2012.0,5000.0,2009.0,0.33
215191,AR,Arkansas,5.0,0.0,2010,Adult obesity,11.0,691514.0,2126561.874,0.325179346,,,2014.0,5000.0,2010.0,0.325179346
215717,CA,California,6.0,0.0,2004,Adult obesity,11.0,1066981.51,5159806.2,0.21,,,,6000.0,2004.0,0.21
215718,CA,California,6.0,0.0,2005,Adult obesity,11.0,1092841.26,5238694.0,0.21,,,,6000.0,2005.0,0.21
215719,CA,California,6.0,0.0,2006,Adult obesity,11.0,1176444.76,5424388.6,0.22,,,,6000.0,2006.0,0.22
215720,CA,California,6.0,0.0,2007,Adult obesity,11.0,1276419.72,5718504.7,0.22,,,,6000.0,2007.0,0.22
215721,CA,California,6.0,0.0,2008,Adult obesity,11.0,1395693.66,5957800.6,0.23,,,2011.0,6000.0,2008.0,0.23
215722,CA,California,6.0,0.0,2009,Adult obesity,11.0,1481106.19,6188995.0,0.24,,,2012.0,6000.0,2009.0,0.24
215723,CA,California,6.0,0.0,2010,Adult obesity,11.0,6232137.0,26882501.18,0.231828763,,,2014.0,6000.0,2010.0,0.231828763
216130,CO,Colorado,8.0,0.0,2004,Adult obesity,11.0,87506.82,531455.47,0.16,,,,8000.0,2004.0,0.16
216131,CO,Colorado,8.0,0.0,2005,Adult obesity,11.0,99452.64,570442.0,0.17,,,,8000.0,2005.0,0.17
216132,CO,Colorado,8.0,0.0,2006,Adult obesity,11.0,117576.99,626555.23,0.19,,,,8000.0,2006.0,0.19
216133,CO,Colorado,8.0,0.0,2007,Adult obesity,11.0,124558.14,654875.94,0.19,,,,8000.0,2007.0,0.19
216134,CO,Colorado,8.0,0.0,2008,Adult obesity,11.0,129736.54,673187.7,0.19,,,2011.0,8000.0,2008.0,0.19
216135,CO,Colorado,8.0,0.0,2009,Adult obesity,11.0,147610.86,726531.0,0.2,,,2012.0,8000.0,2009.0,0.2
216136,CO,Colorado,8.0,0.0,2010,Adult obesity,11.0,748298.0,3682360.997,0.203211472,,,2014.0,8000.0,2010.0,0.203211472
216585,CT,Connecticut,9.0,0.0,2004,Adult obesity,11.0,99898.9,503060.0,0.2,,,,9000.0,2004.0,0.2
