,State,County,State code,County code,Year span,Measure name,Measure id,Numerator,Denominator,Raw value,Confidence Interval Lower Bound,Confidence Interval Upper Bound,Data Release Year,fipscode,year_2,raw_value
22362,AL,Alabama,1.0,0.0,2002,Unemployment,23.0,113113.0,2107861.0,0.053662457,,,,1000.0,2002.0,0.053662457
22363,AL,Alabama,1.0,0.0,2003,Unemployment,23.0,114424.0,2104210.0,0.054378603,,,,1000.0,2003.0,0.054378603
22364,AL,Alabama,1.0,0.0,2004,Unemployment,23.0,106633.0,2113789.0,0.050446379,,,,1000.0,2004.0,0.050446379
22365,AL,Alabama,1.0,0.0,2005,Unemployment,23.0,81286.0,2133185.0,0.038105462,,,,1000.0,2005.0,0.038105462
22366,AL,Alabama,1.0,0.0,2006,Unemployment,23.0,75357.0,2173820.0,0.034665704,,,,1000.0,2006.0,0.034665704
22367,AL,Alabama,1.0,0.0,2007,Unemployment,23.0,74328.0,2178488.0,0.034119077,,,,1000.0,2007.0,0.034119077
22368,AL,Alabama,1.0,0.0,2008,Unemployment,23.0,108408.0,2163258.0,0.050113301,,,2010.0,1000.0,2008.0,0.050113301
22369,AL,Alabama,1.0,0.0,2009,Unemployment,23.0,212783.0,2144601.0,0.09921799,,,2011.0,1000.0,2009.0,0.09921799
22370,AL,Alabama,1.0,0.0,2010,Unemployment,23.0,206777.0,2179170.0,0.094887962,,,2012.0,1000.0,2010.0,0.094887962
22371,AL,Alabama,1.0,0.0,2011,Unemployment,23.0,196548.0,2190525.0,0.089726435,,,2013.0,1000.0,2011.0,0.089726435
22372,AL,Alabama,1.0,0.0,2012,Unemployment,23.0,157119.0,2156304.0,0.072864958,,,2014.0,1000.0,2012.0,0.072864958
23110,AK,Alaska,2.0,0.0,2002,Unemployment,23.0,23276.0,328386.0,0.070880001,,,,2000.0,2002.0,0.070880001
23111,AK,Alaska,2.0,0.0,2003,Unemployment,23.0,25787.0,336551.0,0.076621374,,,,2000.0,2003.0,0.076621374
23112,AK,Alaska,2.0,0.0,2004,Unemployment,23.0,25106.0,339860.0,0.073871594,,,,2000.0,2004.0,0.073871594
23113,AK,Alaska,2.0,0.0,2005,Unemployment,23.0,23718.0,344309.0,0.068885797,,,,2000.0,2005.0,0.068885797
23114,AK,Alaska,2.0,0.0,2006,Unemployment,23.0,22733.0,348845.0,0.065166478,,,,2000.0,2006.0,0.065166478
23115,AK,Alaska,2.0,0.0,2007,Unemployment,23.0,21367.0,351374.0,0.060809849,,,,2000.0,2007.0,0.060809849
23116,AK,Alaska,2.0,0.0,2008,Unemployment,23.0,22876.0,356514.0,0.064165783,,,2010.0,2000.0,2008.0,0.064165783
23117,AK,Alaska,2.0,0.0,2009,Unemployment,23.0,27864.0,359936.0,0.077413762,,,2011.0,2000.0,2009.0,0.077413762
23118,AK,Alaska,2.0,0.0,2010,Unemployment,23.0,29011.0,363949.0,0.079711718,,,2012.0,2000.0,2010.0,0.079711718
23119,AK,Alaska,2.0,0.0,2011,Unemployment,23.0,27714.0,367046.0,0.075505523,,,2013.0,2000.0,2011.0,0.075505523
23120,AK,Alaska,2.0,0.0,2012,Unemployment,23.0,25587.0,366300.0,0.06985258,,,2014.0,2000.0,2012.0,0.06985258
23418,AZ,Arizona,4.0,0.0,2002,Unemployment,23.0,161645.0,2674361.0,0.060442476,,,,4000.0,2002.0,0.060442476
23419,AZ,Arizona,4.0,0.0,2003,Unemployment,23.0,155816.0,2728954.0,0.057097335,,,,4000.0,2003.0,0.057097335
23420,AZ,Arizona,4.0,0.0,2004,Unemployment,23.0,138686.0,2788965.0,0.049726691,,,,4000.0,2004.0,0.049726691
23421,AZ,Arizona,4.0,0.0,2005,Unemployment,23.0,133797.0,2858657.0,0.046804146,,,,4000.0,2005.0,0.046804146
23422,AZ,Arizona,4.0,0.0,2006,Unemployment,23.0,121196.0,2957833.0,0.040974592,,,,4000.0,2006.0,0.040974592
23423,AZ,Arizona,4.0,0.0,2007,Unemployment,23.0,111609.0,3009744.0,0.037082556,,,,4000.0,2007.0,0.037082556
23424,AZ,Arizona,4.0,0.0,2008,Unemployment,23.0,184528.0,3097447.0,0.059574224,,,2010.0,4000.0,2008.0,0.059574224
23425,AZ,Arizona,4.0,0.0,2009,Unemployment,23.0,309139.0,3127529.0,0.098844487,,,2011.0,4000.0,2009.0,0.098844487
23426,AZ,Arizona,4.0,0.0,2010,Unemployment,23.0,325486.0,3100255.0,0.104986848,,,2012.0,4000.0,2010.0,0.104986848
23427,AZ,Arizona,4.0,0.0,2011,Unemployment,23.0,287630.0,3034264.0,0.094793993,,,2013.0,4000.0,2011.0,0.094793993
23428,AZ,Arizona,4.0,0.0,2012,Unemployment,23.0,251660.0,3030239.0,0.083049555,,,2014.0,4000.0,2012.0,0.083049555
23594,AR,Arkansas,5.0,0.0,2002,Unemployment,23.0,67900.0,1272369.0,0.053365022,,,,5000.0,2002.0,0.053365022
23595,AR,Arkansas,5.0,0.0,2003,Unemployment,23.0,73903.0,1269846.0,0.058198396,,,,5000.0,2003.0,0.058198396
23596,AR,Arkansas,5.0,0.0,2004,Unemployment,23.0,72730.0,1294290.0,0.056192971,,,,5000.0,2004.0,0.056192971
23597,AR,Arkansas,5.0,0.0,2005,Unemployment,23.0,68623.0,1339558.0,0.051228092,,,,5000.0,2005.0,0.051228092
23598,AR,Arkansas,5.0,0.0,2006,Unemployment,23.0,71631.0,1358523.0,0.052727116,,,,5000.0,2006.0,0.052727116
23599,AR,Arkansas,5.0,0.0,2007,Unemployment,23.0,72409.0,1362600.0,0.05314032,,,,5000.0,2007.0,0.05314032
23600,AR,Arkansas,5.0,0.0,2008,Unemployment,23.0,73599.0,1369910.0,0.053725427,,,2010.0,5000.0,2008.0,0.053725427
23601,AR,Arkansas,5.0,0.0,2009,Unemployment,23.0,102251.0,1357198.0,0.075339781,,,2011.0,5000.0,2009.0,0.075339781
23602,AR,Arkansas,5.0,0.0,2010,Unemployment,23.0,107714.0,1356633.0,0.079398039,,,2012.0,5000.0,2010.0,0.079398039
23603,AR,Arkansas,5.0,0.0,2011,Unemployment,23.0,109992.0,1369860.0,0.080294337,,,2013.0,5000.0,2011.0,0.080294337
23604,AR,Arkansas,5.0,0.0,2012,Unemployment,23.0,98837.0,1355858.0,0.072896277,,,2014.0,5000.0,2012.0,0.072896277
24430,CA,California,6.0,0.0,2002,Unemployment,23.0,1162785.0,17343585.0,0.067044097,,,,6000.0,2002.0,0.067044097
24431,CA,California,6.0,0.0,2003,Unemployment,23.0,1190603.0,17390668.0,0.068462178,,,,6000.0,2003.0,0.068462178
24432,CA,California,6.0,0.0,2004,Unemployment,23.0,1089658.0,17444439.0,0.062464491,,,,6000.0,2004.0,0.062464491
24433,CA,California,6.0,0.0,2005,Unemployment,23.0,952564.0,17544766.0,0.054293343,,,,6000.0,2005.0,0.054293343
24434,CA,California,6.0,0.0,2006,Unemployment,23.0,865428.0,17686698.0,0.04893101,,,,6000.0,2006.0,0.04893101
24435,CA,California,6.0,0.0,2007,Unemployment,23.0,960303.0,17921040.0,0.053585227,,,,6000.0,2007.0,0.053585227
24436,CA,California,6.0,0.0,2008,Unemployment,23.0,1313057.0,18203079.0,0.072133786,,,2010.0,6000.0,2008.0,0.072133786
24437,CA,California,6.0,0.0,2009,Unemployment,23.0,2063867.0,18208352.0,0.113347271,,,2011.0,6000.0,2009.0,0.113347271
24438,CA,California,6.0,0.0,2010,Unemployment,23.0,2264906.0,18316421.0,0.123654397,,,2012.0,6000.0,2010.0,0.123654397
24439,CA,California,6.0,0.0,2011,Unemployment,23.0,2158332.0,18384891.0,0.117397052,,,2013.0,6000.0,2011.0,0.117397052
24440,CA,California,6.0,0.0,2012,Unemployment,23.0,1934537.0,18494886.0,0.104598482,,,2014.0,6000.0,2012.0,0.104598482
25079,CO,Colorado,8.0,0.0,2002,Unemployment,23.0,138628.0,2442738.0,0.056751072,,,,8000.0,2002.0,0.056751072
25080,CO,Colorado,8.0,0.0,2003,Unemployment,23.0,152812.0,2492349.0,0.061312441,,,,8000.0,2003.0,0.061312441
25081,CO,Colorado,8.0,0.0,2004,Unemployment,23.0,142470.0,2535427.0,0.056191718,,,,8000.0,2004.0,0.056191718
25082,CO,Colorado,8.0,0.0,2005,Unemployment,23.0,132609.0,2588388.0,0.051232273,,,,8000.0,2005.0,0.051232273
25083,CO,Colorado,8.0,0.0,2006,Unemployment,23.0,113731.0,2655561.0,0.042827485,,,,8000.0,2006.0,0.042827485
25084,CO,Colorado,8.0,0.0,2007,Unemployment,23.0,101641.0,2685047.0,0.037854458,,,,8000.0,2007.0,0.037854458
25085,CO,Colorado,8.0,0.0,2008,Unemployment,23.0,131077.0,2732137.0,0.047975998,,,2010.0,8000.0,2008.0,0.047975998
25086,CO,Colorado,8.0,0.0,2009,Unemployment,23.0,222329.0,2736570.0,0.081243674,,,2011.0,8000.0,2009.0,0.081243674
25087,CO,Colorado,8.0,0.0,2010,Unemployment,23.0,243761.0,2725210.0,0.089446685,,,2012.0,8000.0,2010.0,0.089446685
25088,CO,Colorado,8.0,0.0,2011,Unemployment,23.0,225729.0,2723033.0,0.082896168,,,2013.0,8000.0,2011.0,0.082896168
25089,CO,Colorado,8.0,0.0,2012,Unemployment,23.0,219729.0,2743261.0,0.080097738,,,2014.0,8000.0,2012.0,0.080097738
25794,CT,Connecticut,9.0,0.0,2002,Unemployment,23.0,78047.0,1778995.0,0.043871399,,,,9000.0,2002.0,0.043871399
25795,CT,Connecticut,9.0,0.0,2003,Unemployment,23.0,98142.0,1795000.0,0.054675209,,,,9000.0,2003.0,0.054675209
25796,CT,Connecticut,9.0,0.0,2004,Unemployment,23.0,88222.0,1792090.0,0.049228554,,,,9000.0,2004.0,0.049228554
25797,CT,Connecticut,9.0,0.0,2005,Unemployment,23.0,88390.0,1806999.0,0.048915356,,,,9000.0,2005.0,0.048915356
25798,CT,Connecticut,9.0,0.0,2006,Unemployment,23.0,80825.0,1826819.0,0.044243573,,,,9000.0,2006.0,0.044243573
25799,CT,Connecticut,9.0,0.0,2007,Unemployment,23.0,84816.0,1845688.0,0.045953596,,,,9000.0,2007.0,0.045953596
25800,CT,Connecticut,9.0,0.0,2008,Unemployment,23.0,105130.0,1871902.0,0.056162128,,,2010.0,9000.0,2008.0,0.056162128
25801,CT,Connecticut,9.0,0.0,2009,Unemployment,23.0,155523.0,1895954.0,0.082028889,,,2011.0,9000.0,2009.0,0.082028889
25802,CT,Connecticut,9.0,0.0,2010,Unemployment,23.0,178139.0,1916598.0,0.092945417,,,2012.0,9000.0,2010.0,0.092945417
25803,CT,Connecticut,9.0,0.0,2011,Unemployment,23.0,168648.0,1918126.0,0.087923317,,,2013.0,9000.0,2011.0,0.087923317
25804,CT,Connecticut,9.0,0.0,2012,Unemployment,23.0,157066.0,1879461.0,0.083569704,,,2014.0,9000.0,2012.0,0.083569704
25893,DE,Delaware,10.0,0.0,2002,Unemployment,23.0,16584.0,417885.0,0.039685559,,,,10000.0,2002.0,0.039685559
25894,DE,Delaware,10.0,0.0,2003,Unemployment,23.0,17557.0,421060.0,0.041697145,,,,10000.0,2003.0,0.041697145
25895,DE,Delaware,10.0,0.0,2004,Unemployment,23.0,16648.0,424914.0,0.039179693,,,,10000.0,2004.0,0.039179693
25896,DE,Delaware,10.0,0.0,2005,Unemployment,23.0,17193.0,434389.0,0.039579732,,,,10000.0,2005.0,0.039579732
25897,DE,Delaware,10.0,0.0,2006,Unemployment,23.0,15507.0,440124.0,0.035233252,,,,10000.0,2006.0,0.035233252
25898,DE,Delaware,10.0,0.0,2007,Unemployment,23.0,15576.0,442841.0,0.035172895,,,,10000.0,2007.0,0.035172895
25899,DE,Delaware,10.0,0.0,2008,Unemployment,23.0,21572.0,445800.0,0.048389412,,,2010.0,10000.0,2008.0,0.048389412
25900,DE,Delaware,10.0,0.0,2009,Unemployment,23.0,34532.0,439443.0,0.078581295,,,2011.0,10000.0,2009.0,0.078581295
25901,DE,Delaware,10.0,0.0,2010,Unemployment,23.0,35116.0,436822.0,0.080389724,,,2012.0,10000.0,2010.0,0.080389724
25902,DE,Delaware,10.0,0.0,2011,Unemployment,23.0,32229.0,439181.0,0.073384322,,,2013.0,10000.0,2011.0,0.073384322
25903,DE,Delaware,10.0,0.0,2012,Unemployment,23.0,31598.0,444042.0,0.071159935,,,2014.0,10000.0,2012.0,0.071159935
25937,DC,District of Columbia,11.0,0.0,2002,Unemployment,23.0,20596.0,305211.0,0.067481185,,,,11000.0,2002.0,0.067481185
25938,DC,District of Columbia,11.0,0.0,2003,Unemployment,23.0,21546.0,306907.0,0.070203677,,,,11000.0,2003.0,0.070203677
25939,DC,District of Columbia,11.0,0.0,2004,Unemployment,23.0,23390.0,311787.0,0.075019164,,,,11000.0,2004.0,0.075019164
25940,DC,District of Columbia,11.0,0.0,2005,Unemployment,23.0,20692.0,319303.0,0.064803651,,,,11000.0,2005.0,0.064803651
