,State,County,State code,County code,Year span,Measure name,Measure id,Numerator,Denominator,Raw value,Confidence Interval Lower Bound,Confidence Interval Upper Bound,Data Release Year,fipscode,year_2,raw_value
7,AL,Alabama,1.0,0.0,2003-2005,Violent crime rate,43.0,18174.83333,4221248.167,430.5559071,,,,1000.0,2003.0,430.5559071
8,AL,Alabama,1.0,0.0,2004-2006,Violent crime rate,43.0,17677.16667,4042098.333,437.3264876,,,,1000.0,2004.0,437.3264876
9,AL,Alabama,1.0,0.0,2005-2007,Violent crime rate,43.0,17458.16667,3979110.0,438.7455151,,,2010.0,1000.0,2005.0,438.7455151
10,AL,Alabama,1.0,0.0,2006-2008,Violent crime rate,43.0,18611.0,4103878.667,453.497813,,,2011.0,1000.0,2006.0,453.497813
11,AL,Alabama,1.0,0.0,2007-2009,Violent crime rate,43.0,19876.5,4434700.167,448.2039203,,,2012.0,1000.0,2007.0,448.2039203
12,AL,Alabama,1.0,0.0,2008-2010,Violent crime rate,43.0,19456.0,4601462.5,422.8220919,,,2013.0,1000.0,2008.0,422.8220919
13,AL,Alabama,1.0,0.0,2009-2011,Violent crime rate,43.0,19431.5,4720657.5,411.6269821,,,2014.0,1000.0,2009.0,411.6269821
483,AK,Alaska,2.0,0.0,2003-2005,Violent crime rate,43.0,2338.666667,344305.3333,679.2420681,,,,2000.0,2003.0,679.2420681
484,AK,Alaska,2.0,0.0,2004-2006,Violent crime rate,43.0,2600.666667,346477.6667,750.6015299,,,,2000.0,2004.0,750.6015299
485,AK,Alaska,2.0,0.0,2005-2007,Violent crime rate,43.0,2701.0,349408.0,773.0217969,,,2010.0,2000.0,2005.0,773.0217969
486,AK,Alaska,2.0,0.0,2006-2008,Violent crime rate,43.0,2934.333333,355932.0,824.4084076,,,2011.0,2000.0,2006.0,824.4084076
487,AK,Alaska,2.0,0.0,2007-2009,Violent crime rate,43.0,2908.166667,356843.8333,814.9690131,,,2012.0,2000.0,2007.0,814.9690131
488,AK,Alaska,2.0,0.0,2008-2010,Violent crime rate,43.0,2878.666667,355870.1667,808.9092417,,,2013.0,2000.0,2008.0,808.9092417
489,AK,Alaska,2.0,0.0,2009-2011,Violent crime rate,43.0,2808.0,363443.3333,772.6101272,,,2014.0,2000.0,2009.0,772.6101272
679,AZ,Arizona,4.0,0.0,2003-2005,Violent crime rate,43.0,28791.33333,5565500.667,517.3179388,,,,4000.0,2003.0,517.3179388
680,AZ,Arizona,4.0,0.0,2004-2006,Violent crime rate,43.0,29680.33333,5747622.667,516.3932125,,,,4000.0,2004.0,516.3932125
681,AZ,Arizona,4.0,0.0,2005-2007,Violent crime rate,43.0,30163.66667,5892046.333,511.9387215,,,2010.0,4000.0,2005.0,511.9387215
682,AZ,Arizona,4.0,0.0,2006-2008,Violent crime rate,43.0,29994.66667,6267323.833,478.5881098,,,2011.0,4000.0,2006.0,478.5881098
683,AZ,Arizona,4.0,0.0,2007-2009,Violent crime rate,43.0,28517.0,6434708.167,443.1747216,,,2012.0,4000.0,2007.0,443.1747216
684,AZ,Arizona,4.0,0.0,2008-2010,Violent crime rate,43.0,26455.5,6453854.833,409.9178039,,,2013.0,4000.0,2008.0,409.9178039
685,AZ,Arizona,4.0,0.0,2009-2011,Violent crime rate,43.0,24896.0,6436903.5,386.7698188,,,2014.0,4000.0,2009.0,386.7698188
791,AR,Arkansas,5.0,0.0,2003-2005,Violent crime rate,43.0,13123.5,2604866.833,503.8069445,,,,5000.0,2003.0,503.8069445
792,AR,Arkansas,5.0,0.0,2004-2006,Violent crime rate,43.0,14056.33333,2604934.5,539.6040988,,,,5000.0,2004.0,539.6040988
793,AR,Arkansas,5.0,0.0,2005-2007,Violent crime rate,43.0,14648.83333,2697422.5,543.0678113,,,2010.0,5000.0,2005.0,543.0678113
794,AR,Arkansas,5.0,0.0,2006-2008,Violent crime rate,43.0,14682.83333,2781040.333,527.9618982,,,2011.0,5000.0,2006.0,527.9618982
795,AR,Arkansas,5.0,0.0,2007-2009,Violent crime rate,43.0,14513.33333,2816186.667,515.3540959,,,2012.0,5000.0,2007.0,515.3540959
796,AR,Arkansas,5.0,0.0,2008-2010,Violent crime rate,43.0,14434.16667,2833826.667,509.3524892,,,2013.0,5000.0,2008.0,509.3524892
797,AR,Arkansas,5.0,0.0,2009-2011,Violent crime rate,43.0,14312.83333,2838455.0,504.2473223,,,2014.0,5000.0,2009.0,504.2473223
1323,CA,California,6.0,0.0,2003-2005,Violent crime rate,43.0,198073.1667,35836487.0,552.7136816,,,,6000.0,2003.0,552.7136816
1324,CA,California,6.0,0.0,2004-2006,Violent crime rate,43.0,194373.5,36161326.5,537.5176157,,,,6000.0,2004.0,537.5176157
1325,CA,California,6.0,0.0,2005-2007,Violent crime rate,43.0,192006.5,36380053.5,527.7795977,,,2010.0,6000.0,2005.0,527.7795977
1326,CA,California,6.0,0.0,2006-2008,Violent crime rate,43.0,190171.3333,36589143.33,519.7479799,,,2011.0,6000.0,2006.0,519.7479799
1327,CA,California,6.0,0.0,2007-2009,Violent crime rate,43.0,183689.3333,36757181.67,499.7372622,,,2012.0,6000.0,2007.0,499.7372622
1328,CA,California,6.0,0.0,2008-2010,Violent crime rate,43.0,174690.0,36990762.0,472.2530452,,,2013.0,6000.0,2008.0,472.2530452
